city,State_name,State_ab,ALand,AWater,Median,Stdev
Madelia,Minnesota,MN,2279836.0,0.0,80435.0,85757.50032517395
Madera,California,CA,19384010.75,0.0,136752.5,87852.116961991
Madill,Oklahoma,OK,7759824.333333333,876272.3333333334,64494.333333333336,80629.91246979157
Madison,Alabama,AL,11343944.363636363,55767.90909090909,120764.09090909091,118994.014592289
Madison Heights,Virginia,VA,49709135.0,843491.0,81533.0,109850.487757816
Madisonville,Kentucky,KY,22222040.666666668,735143.6666666666,77965.0,75128.73846914039
Madras,Oregon,OR,13705418.0,0.0,67722.0,58142.9808228959
Madrid,Iowa,IA,1782489.5,0.0,85676.5,105708.83058673686
Magalia,California,CA,16513469.333333334,3564.0,123878.0,41889.91491195376
Magdalena,New Mexico,NM,58837804.0,0.0,23262.5,48638.108087420755
Magee,Mississippi,MS,13631670.0,0.0,61226.0,114871.311066714
Magna,Utah,UT,20317592.0,0.0,86855.0,109674.462374791
Magnolia,Arkansas,AR,7130519.666666667,36037.11111111111,130319.11111111111,108457.02501204777
Mahanoy City,Pennsylvania,PA,731643.0,0.0,70377.5,70190.0833855295
Mahnomen,Minnesota,MN,2675357.0,0.0,77570.0,96866.1231680506
Mahomet,Illinois,IL,24552712.0,168756.0,136015.0,152715.839479476
Mahopac,New York,NY,13673761.0,3033977.0,206676.0,193491.762379887
Mahtomedi,Minnesota,MN,65043034.0,3682780.0,205246.0,194396.06250568
Maiden,North Carolina,NC,14326224.0,174115.0,77879.0,77029.9847320393
Maineville,Ohio,OH,7867990.0,258447.0,186789.0,181964.89961619602
Maitland,Missouri,MO,837249.0,0.0,49360.5,48687.079596567855
Makawao,Hawaii,HI,9183943.0,0.0,89916.0,79440.4971293222
Makoti,North Dakota,ND,691494.5,6530.5,93952.0,101890.49460871755
Malakoff,Texas,TX,2847506.5,11782.5,55718.5,76876.98870739575
Malden,Illinois,IL,698349.5,0.0,81737.0,28473.09243394405
Malibu,California,CA,51265527.0,88901.0,252434.0,222630.94659049198
Malinta,Ohio,OH,1641789.5,0.0,73635.5,39797.998876175356
Mallard,Iowa,IA,1473106.3333333333,0.0,141671.0,37533.74855680556
Mallory,West Virginia,WV,33638494.0,127211.0,70727.0,11556.095374363798
Malone,Florida,FL,3295406.0,58663.666666666664,153807.33333333334,98840.39597036206
Malta,Idaho,ID,3573091.0,4501.0,85313.0,85837.2734500206
Malta Bend,Missouri,MO,461608.5,0.0,50611.5,46612.69564152695
Malvern,Arkansas,AR,4694692.8,5690.2,97656.0,100782.1906319495
Mamers,North Carolina,NC,15649095.0,23186.0,300000.0,63658.7559678301
Mammoth Lakes,California,CA,10391043.0,0.0,300000.0,215297.39497224602
Mammoth Spring,Arkansas,AR,3474667.0,120691.0,46013.0,53770.447306769805
Mamou,Louisiana,LA,6747756.5,0.0,42837.0,47063.164074164204
Man,West Virginia,WV,3366054.0,62102.0,75602.0,63502.2272417109
Manalapan,New Jersey,NJ,6184354.0,24137.0,240157.0,210406.570086708
Manasquan,New Jersey,NJ,3572648.0,2967755.0,219200.0,198139.06442838302
Manassas,Virginia,VA,21742170.25,416223.75,138941.0,151359.17282028127
Manawa,Wisconsin,WI,2481117.0,136532.0,69753.0,70317.1833513364
Mancelona,Michigan,MI,2597873.0,0.0,60724.0,59134.77153736389
Manchaca,Texas,TX,1148239.0,3309.0,115466.0,131526.694855652
Manchester,California,CA,6758060.0,92392.2,115975.2,82150.7953457908
Manchester Center,Vermont,VT,9179999.0,78758.0,155429.0,165093.657270156
Mancos,Colorado,CO,1653206.0,0.0,66724.0,70169.92799291741
Mandaree,North Dakota,ND,29022538.0,29235.0,59253.0,30541.9582602324
Manderson,South Dakota,SD,8529725.0,66247.5,43473.0,45282.7783667819
Mangham,Louisiana,LA,2777506.0,0.0,114896.0,180525.63526624
Mangum,Oklahoma,OK,4531674.0,0.0,90966.0,156499.598168947
Manhasset,New York,NY,762000.5,9058.5,253309.5,226176.453421032
Manhattan,Kansas,KS,18603469.666666668,42990.333333333336,168065.33333333334,107363.59977771407
Manheim,Pennsylvania,PA,3581479.0,44884.0,81006.0,98422.30898960339
Manilla,Iowa,IA,2675615.0,0.0,84711.0,98681.7330995916
Manistee,Michigan,MI,4028335.25,760254.5,69087.0,69769.53271148536
Manistique,Michigan,MI,8249801.0,837489.0,60509.0,99296.15379226279
Manito,Illinois,IL,2542049.5,0.0,90452.5,109554.87012410504
Manitowoc,Wisconsin,WI,46098809.0,966509.0,87246.0,113997.688990075
Mankato,Kansas,KS,20444845.4,362721.6,58479.4,87995.85665545693
Manley Hot Springs,Alaska,AK,141435198.0,0.0,250000.0,58785.731861077
Manlius,Illinois,IL,462232.0,0.0,300000.0,55042.0303152115
Manly,Iowa,IA,2517563.0,0.0,80698.0,76540.0303733272
Mannford,Oklahoma,OK,15722175.333333334,7102373.666666667,65059.333333333336,93225.6043681963
Manning,Iowa,IA,6439497.0,17812.0,87002.0,116271.021615172
Mannington,West Virginia,WV,2830387.0,119970.0,73820.0,88348.04176240439
Mannsville,New York,NY,2323671.0,84385.0,96627.0,105845.645961305
Manor,Texas,TX,19035941.0,39366.0,90541.0,98920.7359057901
Manorville,New York,NY,65801431.0,108390.0,179685.0,179225.04881073898
Mansfield,Arkansas,AR,15842344.923076924,52159.46153846154,86175.76923076923,89767.27694508691
Mansfield Center,Connecticut,CT,7941597.0,908825.0,119405.0,146978.549378956
Mansura,Louisiana,LA,7391496.0,0.0,56419.0,29724.393191335297
Mantachie,Mississippi,MS,10192801.0,29275.0,77051.0,102950.820779108
Manteca,California,CA,32468907.5,1428393.5,87059.0,110099.986249205
Manteo,North Carolina,NC,8492810.5,1146961.0,100069.5,117288.04021955418
Manti,Utah,UT,5576604.0,0.0,83350.0,97592.960384846
Manton,California,CA,24935249.5,103813.5,70163.0,87898.19189524595
Manville,New Jersey,NJ,6114727.0,227250.0,105612.0,136385.28410422
Many,Louisiana,LA,6342990.0,24182.0,90102.0,89045.77129162451
Many Farms,Arizona,AZ,21116243.0,64138.0,72052.0,62597.6223655141
Manzanola,Colorado,CO,715778.0,0.0,49293.0,56252.1912134033
Maple City,Michigan,MI,2817784.0,139779.0,201832.0,128585.60675609199
Maple Falls,Washington,WA,4269923.5,115003.0,300000.0,41898.10496495345
Maple Grove,Minnesota,MN,84347844.0,6429703.0,171207.0,175444.24179781
Maple Heights,Ohio,OH,13393037.0,809.0,73309.0,85371.5072442234
Maple Park,Illinois,IL,3133369.5,0.0,203992.5,102847.42570899245
Maple Plain,Minnesota,MN,2756992.0,12167.0,94199.0,110569.39074129699
Maple Shade,New Jersey,NJ,9446244.0,9492.0,143967.0,158976.037174369
Maple Valley,Washington,WA,25886517.666666668,375424.0,164104.0,169091.92775018068
Mapleton,Iowa,IA,8879352.42857143,187947.57142857142,91852.0,111619.52705372368
Mapleton Depot,Pennsylvania,PA,473752.0,21838.0,65019.0,53634.3287908557
Mappsville,Virginia,VA,3414814.75,15279.0,168168.0,88663.58983323156
Maquoketa,Iowa,IA,11223961.0,90929.0,71685.0,96955.5580488867
Mar Lin,Pennsylvania,PA,2347320.0,0.0,67827.0,60602.6318970754
Marana,Arizona,AZ,185363616.5,949532.5,37544.0,90566.06493951571
Marathon,Florida,FL,3006707.0,219559.0,133087.33333333334,139602.80010176366
Marble,Colorado,CO,5647639.0,98351.0,145237.0,52228.047982722135
Marble City,Oklahoma,OK,21342487.666666668,93520.33333333333,43192.333333333336,57112.52663105335
Marble Falls,Texas,TX,13665175.0,573407.0,97228.33333333333,122364.92347786146
Marble Hill,Missouri,MO,2216877.5,6976.0,50767.0,39336.41651618585
Marbury,Alabama,AL,59967130.0,199873.0,122531.0,85248.040912152
Marceline,Missouri,MO,8497709.0,97999.0,70044.0,70620.11358809941
Marcellus,Michigan,MI,1564714.5,2972.5,98177.0,132889.4999556165
Marco Island,Florida,FL,15927327.5,14058410.0,253808.5,212272.4161781905
Mardela Springs,Maryland,MD,831812.5,33226.5,182232.5,80590.4189342715
Marengo,Iowa,IA,12912794.5,78749.0,86414.0,100455.73026953614
Margaretville,New York,NY,1696437.0,37682.0,70866.0,57478.299825570706
Margate,New Jersey,NJ,1015868.0,3016787.0,216562.0,198898.39354861897
Maria Stein,Ohio,OH,745324.5,1429.0,171580.5,70825.2481753264
Marianna,Arkansas,AR,13338786.8,25014.0,60200.4,68251.80495561016
Maricopa,Arizona,AZ,15653811.5,0.0,62411.5,55103.77699937605
Marienville,Pennsylvania,PA,6384851.0,7195.0,83558.0,66337.7507072107
Marietta,Georgia,GA,16305826.2,44782.6,87473.2,101989.31811216043
Marina Del Rey,California,CA,2226381.0,1541368.0,170337.0,173324.77170418302
Marine,Illinois,IL,1800572.0,52023.0,88001.0,110935.06153301199
Marine City,Michigan,MI,5561908.0,806508.0,80444.0,110820.511679431
Marine On St Croix,Minnesota,MN,10125099.0,755884.0,195842.0,189463.68261180198
Maringouin,Louisiana,LA,1906656.0,0.0,62642.0,71972.2549718805
Marion,Alabama,AL,15479976.318181818,965991.3636363636,129514.13636363637,104621.51730090652
Marion Center,Pennsylvania,PA,1924647.0,0.0,75548.0,89198.1233518706
Marionville,Missouri,MO,1153386.0,3437.0,132914.0,77152.65338238691
Mariposa,California,CA,35690080.5,35353.0,87219.0,103884.6445266192
Markesan,Wisconsin,WI,6036547.0,45059.0,76284.0,93994.7499634098
Markham,Texas,TX,5825472.0,42668.0,89106.0,74316.23632467691
Markleeville,California,CA,12627546.0,0.0,85738.0,47278.3342784476
Marks,Mississippi,MS,3324176.0,0.0,81729.0,140136.334281301
Marksville,Louisiana,LA,12465883.0,34862.0,59935.0,91305.417192861
Marlboro,New York,NY,11540197.0,1647068.0,125362.0,153945.249609681
Marlborough,Connecticut,CT,3677825.0,164476.0,201811.0,77091.57435312148
Marlette,Michigan,MI,4079156.5,5648.5,66312.0,65662.34685748705
Marlinton,West Virginia,WV,2928439.0,0.0,250000.0,59687.1276015603
Marlow,Oklahoma,OK,159471866.0,3384234.0,94354.0,151623.64723663699
Marmaduke,Arkansas,AR,3379024.0,0.0,71205.0,96223.9668479508
Marmarth,North Dakota,ND,6481934.0,61049.0,60703.0,50737.6197820252
Marmet,West Virginia,WV,3298475.0,348967.0,80101.0,90696.4174244278
Marmora,New Jersey,NJ,1358231.0,606086.0,300000.0,234095.88886559103
Maroa,Illinois,IL,4617362.0,0.0,91207.0,111095.93890362699
Marquette,Michigan,MI,5163046.0,1444081.0,71429.0,88898.1722043258
Marquette Heights,Illinois,IL,3566763.0,98199.0,86478.0,107236.812521431
Mars Hill,Maine,ME,7070853.0,0.0,81459.0,72236.41454854929
Marseilles,Illinois,IL,23483058.0,1259384.0,88910.0,95453.4479016464
Marshall,Alaska,AK,7564776.555555556,103623.11111111111,108656.22222222222,95043.97174137755
Marshalltown,Iowa,IA,49937222.0,68292.0,88034.0,118780.96112218699
Marshallville,Ohio,OH,1481900.0,0.0,86787.0,90832.68247814609
Marshfield,Massachusetts,MA,24233723.5,135408.0,120698.5,147683.6349511645
Marshville,North Carolina,NC,5738515.0,7120.0,64629.0,61247.6446381871
Mart,Texas,TX,3412000.0,310.0,300000.0,98329.471123774
Martensdale,Iowa,IA,1070335.5,9810.0,52606.0,140917.64772429998
Marthaville,Louisiana,LA,25979921.0,0.0,80509.0,63862.6792332628
Martin,South Dakota,SD,17147554.5,53992.5,86949.0,126768.7634146545
Martinez,California,CA,10917821.5,71363.0,160375.0,138219.54325144857
Martins Ferry,Ohio,OH,6030707.0,4636.0,68347.0,83110.225354718
Martinsburg,West Virginia,WV,3225261.0,0.0,300000.0,149449.616559659
Martinsville,Illinois,IL,12059738.0,74273.0,65010.666666666664,65808.62115497587
Marvell,Arkansas,AR,3681702.0,0.0,67427.0,116353.945747356
Marysville,California,CA,26089250.333333332,562972.1666666666,137191.33333333334,113710.3334963245
Marysville Ca,California,CA,8971085.0,312309.0,71447.0,90435.71137398
Maryville,Illinois,IL,8675901.6,56630.2,85883.8,76685.4501275438
Mascot,Tennessee,TN,18038572.0,574856.0,55522.0,60262.1177258389
Mashpee,Massachusetts,MA,2566375.75,429653.5,242296.5,164916.19148168163
Mason,Michigan,MI,5090830.0,93055.25,68184.25,89482.82328782357
Mason City,Iowa,IA,571811.6666666666,0.0,156716.33333333334,84069.41642061716
Masontown,Pennsylvania,PA,3912261.0,83801.0,82904.0,93370.50672386462
Massapequa,New York,NY,8905587.0,313872.0,188253.0,185486.193393715
Massapequa Park,New York,NY,5723339.0,111352.0,189784.0,184280.03484700102
Massena,Iowa,IA,1555633.0,0.0,85502.0,113372.77324154599
Massillon,Ohio,OH,28284006.5,286962.0,77857.0,102050.89224488445
Matador,Texas,TX,2749966.0,0.0,57815.0,51040.4383103609
Matagorda,Texas,TX,4773183.0,501171.0,250000.0,62101.6903169575
Matewan,Kentucky,KY,1033068.0,0.0,62011.5,65259.170254320794
Mather,California,CA,25964732.0,64570.0,117889.0,153507.701264984
Matherville,Illinois,IL,1012721.0,21517.0,92421.0,109255.90180097199
Mathews,Virginia,VA,8307598.0,7765565.0,102832.0,149247.7181741475
Mathis,Texas,TX,2756132.5,1417706.0,205363.0,89695.90714816355
Mathiston,Mississippi,MS,6383928.0,50827.0,81957.0,111024.43799186301
Matoaka,West Virginia,WV,1312736.0,0.0,48760.5,39045.56007140925
Mattawa,Washington,WA,5350926.5,3500499.0,75044.5,78197.0258458786
Mattawan,Michigan,MI,9879421.0,62194.0,90257.0,97471.62298807471
Matthews,Missouri,MO,30042313.0,388494.3333333333,153679.66666666666,130288.56147143221
Mattituck,New York,NY,7769817.0,190446.0,165250.0,153504.344094857
Mattoon,Illinois,IL,2648214.0,0.0,73088.0,61471.932850121804
Maud,Oklahoma,OK,11818815.5,0.0,63672.5,70701.93143126015
Maugansville,Maryland,MD,4560981.0,0.0,162114.66666666666,73075.81635807018
Maunabo,Puerto Rico,PR,1516950.0,0.0,72795.0,164672.130839864
Maupin,Oregon,OR,5520992.0,262622.25,65069.75,53043.767745366255
Maurice,Louisiana,LA,7201270.0,5017.0,90042.0,98470.0317409825
Maury City,Tennessee,TN,2919085.0,0.0,63104.0,55613.718510491904
Max,North Dakota,ND,1326334.0,0.0,199188.0,78515.71743701375
Max Meadows,Virginia,VA,23454166.5,186668.0,190722.0,23585.9496282117
Maxton,North Carolina,NC,4609651.0,0.0,167602.0,75103.90555648315
Maxwell,Iowa,IA,1874209.5,0.0,81624.0,108379.79791533228
May,Texas,TX,6584644.0,1020811.0,82571.0,81389.9216588997
Maybell,Colorado,CO,1342323.0,0.0,27157.0,14760.556906214098
Mayer,Arizona,AZ,52000783.0,0.0,73455.0,64074.4650006897
Mayetta,Kansas,KS,437525.0,0.0,75211.0,62839.1480427488
Mayfield,Kentucky,KY,4778519.75,135205.75,149704.75,91296.40829930028
Mayflower,Arkansas,AR,9930065.0,122363.0,109106.0,148699.710612837
Maylene,Alabama,AL,5688362.0,26749.0,75680.0,72753.72271366
Maynard,Arkansas,AR,4688026.25,114158.25,108571.5,116041.58550177974
Mayo,Florida,FL,2339831.0,21182.0,185248.5,91502.85996005006
Mayodan,North Carolina,NC,7448515.0,54836.0,54601.0,55935.7130899061
Maypearl,Texas,TX,2097180.0,46266.0,300000.0,71831.9740114815
Mays,Indiana,IN,322494.0,0.0,68794.0,60612.1822219158
Mays Landing,New Jersey,NJ,4420236.0,625102.0,111481.0,152504.187651686
Maysville,Georgia,GA,16916451.75,1824957.25,133283.25,130092.203865512
Mayville,Michigan,MI,4535182.25,89991.0,83988.75,111346.04938960775
Maywood,California,CA,1876808.5,0.0,65688.5,75831.30561090785
Mazon,Illinois,IL,1528121.0,15897.0,98378.0,97587.02629908289
Mc Arthur,Ohio,OH,1139817.0,18866.0,82239.0,65822.1705307207
Mc Bain,Michigan,MI,3241303.0,0.0,52635.0,58274.0309558062
Mc Clave,Colorado,CO,912224.0,0.0,81580.0,78219.8999087081
Mc Connelsville,Ohio,OH,4634849.0,277737.0,65394.0,102750.703086007
Mc Donald,Ohio,OH,2380857.75,0.0,136938.5,71283.29383596376
Mc Guffey,Ohio,OH,840809.5,0.0,59966.0,51048.456609002955
Mc Intosh,Florida,FL,1801704.0,846.0,300000.0,103421.304774847
Mc Kean,Pennsylvania,PA,1481098.0,27457.0,81075.0,29827.0815848838
Mc Keesport,Pennsylvania,PA,13064614.0,952790.0,57283.0,66545.5777612191
Mc Leansboro,Illinois,IL,6768652.0,338011.0,85995.0,93500.83398807439
Mc Rae,Georgia,GA,9481215.666666666,141271.33333333334,108542.0,30164.68705992835
Mc Veytown,Pennsylvania,PA,1843650.0,8099.5,139946.75,89987.1700948432
Mcadoo,Pennsylvania,PA,903409.0,0.0,68201.0,95746.6531664364
Mcalester,Oklahoma,OK,5765166.0,6816.0,86247.0,36618.7054343748
Mcalisterville,Pennsylvania,PA,9722650.0,16811.0,71244.0,83294.9850172845
Mcallen,Texas,TX,151143159.0,1038050.0,107786.0,149853.79483219198
Mcarthur,California,CA,1834790.0,32277.5,69634.0,51089.100068445296
Mcbee,South Carolina,SC,3400291.0,0.0,75867.0,87183.5226666262
Mccall,Idaho,ID,23395430.0,2205736.0,89665.0,136234.026897899
Mccleary,Washington,WA,5295913.0,57128.0,94658.0,104632.421031945
Mccoll,North Carolina,NC,1800982.5,1359.0,165804.5,87074.23459118609
Mccool Junction,Nebraska,NE,1210577.0,10370.0,78356.0,71191.4408632328
Mccordsville,Indiana,IN,17063583.0,68657.0,300000.0,182242.833077925
Mccormick,South Carolina,SC,12179591.0,19813.0,139289.66666666666,58639.14482687573
Mccrory,Arkansas,AR,4482600.0,0.0,60859.5,72802.87947111175
Mcdade,Texas,TX,10371976.0,35750.0,91834.0,82797.3267654652
Mcdonald,Pennsylvania,PA,2901236.0,0.0,227383.0,198236.55634079603
Mcdonough,Georgia,GA,32666080.0,483977.0,78712.0,99974.56099786199
Mcewen,Tennessee,TN,4833524.0,1408.0,77334.0,87748.5242517942
Mcfarland,Wisconsin,WI,9083094.0,5851.0,150320.0,161080.576406639
Mcgaheysville,Virginia,VA,25688462.0,57093.0,120080.0,154059.976475826
Mcgehee,Arkansas,AR,6637041.666666667,0.0,55005.666666666664,65598.68176426923
Mcgill,Nevada,NV,2813093.0,0.0,300000.0,68001.2714917478
Mcgraw,New York,NY,4093472.0,0.0,193467.5,74567.08033000665
Mchenry,Illinois,IL,24946300.666666668,594028.6666666666,149209.33333333334,160098.69686160266
Mckee,Kentucky,KY,6035148.0,1150.0,27047.0,40490.064753305094
Mckeesport,Pennsylvania,PA,2009162.5,195833.0,84738.5,93069.5715582308
Mckenzie,Alabama,AL,12953699.5,21560.5,181360.5,58271.506477620555
Mckinleyville,California,CA,27111447.0,9982.0,114071.0,137920.526206534
Mckinney,Texas,TX,163107658.0,1741187.0,153413.0,164346.76879103802
Mckittrick,California,CA,8026554.0,0.0,217277.5,95224.98715193025
Mclaughlin,South Dakota,SD,1047066.0,0.0,74090.0,101907.88546569
Mclean,Texas,TX,33589410.5,135504.5,172227.0,170944.96788729652
Mclemoresville,Tennessee,TN,6688785.0,0.0,81759.0,69200.0513886663
Mcloud,Oklahoma,OK,49063814.0,205187.0,73890.0,77755.4675790319
Mcmechen,West Virginia,WV,1478321.0,686015.0,69028.0,68915.77414923151
Mcminnville,Tennessee,TN,2429078.0,0.0,81998.0,80771.7211282091
Mcmurray,Pennsylvania,PA,5358604.0,65209.0,173177.0,177756.89614546602
Mcnary,Arizona,AZ,63763482.333333336,73594.33333333333,214733.66666666666,81284.73159892682
Mcpherson,Kansas,KS,19502433.0,133600.0,98316.0,129254.84501140901
Mcqueeney,Texas,TX,10598712.0,1013746.0,142542.0,152110.16679134802
Mcville,North Dakota,ND,2311147.6666666665,59395.333333333336,152797.33333333334,133133.34990555563
Mead,Colorado,CO,17929584.5,67649.5,164844.25,155863.404489814
Meade,Kansas,KS,3749591.0,0.0,82139.0,101923.558537988
Meadow Bridge,West Virginia,WV,1051158.0,819.0,46538.0,48997.516838560194
Meadowview,Virginia,VA,11993244.0,12777.0,88886.0,89944.0768571761
Meadville,Missouri,MO,2584894.0,2268.0,67368.0,66285.44479890069
Mebane,North Carolina,NC,23213152.0,316456.0,109405.0,133137.912319065
Mecca,California,CA,28952348.0,13989.0,54996.0,67868.6403049431
Mechanic Falls,Maine,ME,13838991.0,336132.0,64398.0,117561.77878688801
Mechanicsburg,Ohio,OH,2508265.0,15484.75,135436.5,84535.11869006408
Medford,Massachusetts,MA,26016041.4,309724.6,108303.2,139700.4186528254
Medford Lakes,New Jersey,NJ,2951403.0,336335.0,182221.0,183327.21172973802
Media,Pennsylvania,PA,2886296.5,4151.5,111808.5,140571.988725924
Mediapolis,Iowa,IA,3119520.0,0.0,89338.0,112040.783594198
Medicine Bow,Wyoming,WY,8956733.0,0.0,55691.0,14197.119842568798
Medicine Lake,Montana,MT,2270316.0,0.0,187846.5,135122.11552542995
Medicine Lodge,Kansas,KS,470039.5,0.0,182336.0,58218.383203832804
Medina,North Dakota,ND,3863357.2,11562.8,246400.4,130101.25849603
Medora,Illinois,IL,887194.8,9680.4,104851.8,69882.35355655508
Mekoryuk,Alaska,AK,16491474.0,14094.0,87639.0,71981.9412775354
Melba,Idaho,ID,1034227.0,17753.0,62405.0,54373.0068287898
Melbourne,Arkansas,AR,8668959.0,114920.0,165070.0,158969.2542756787
Melbourne Beach,Florida,FL,2541532.0,1075570.0,147615.0,169271.202021765
Melcher,Iowa,IA,2578457.0,0.0,70064.0,104279.847765887
