city,State_ab,State_name,population,density
Stormstown,PA,Pennsylvania,2429.0,117.0
Storrs,CT,Connecticut,16352.0,1129.0
Story,WY,Wyoming,660.0,35.0
Story City,IA,Iowa,3320.0,464.0
Stotesbury,MO,Missouri,17.0,59.0
Stotonic Village,AZ,Arizona,607.0,47.0
Stotts City,MO,Missouri,217.0,163.0
Stottville,NY,New York,1338.0,123.0
Stouchsburg,PA,Pennsylvania,438.0,125.0
Stoughton,WI,Wisconsin,13114.0,871.0
Stout,IA,Iowa,212.0,280.0
Stoutland,MO,Missouri,201.0,128.0
Stoutsville,OH,Ohio,302.5,103.0
Stovall,NC,North Carolina,420.0,154.0
