city,state_id,state_name,population,density
Alliance,OH,Ohio,31255,919
Banning,CA,California,31221,518
Laguna Hills,CA,California,31207,1824
Central Islip,NY,New York,31205,1694
Athens,AL,Alabama,31187,265
Princeton,NJ,New Jersey,31187,670
Orcutt,CA,California,31118,1079
Naugatuck,CT,Connecticut,31108,736
Eldersburg,MD,Maryland,31108,301
Columbus,MS,Mississippi,31084,363
Mundelein,IL,Illinois,31051,1257
Fair Oaks,CA,California,31032,1102
San Pablo,CA,California,30990,4550
Rexburg,ID,Idaho,30979,1134
Nogales,AZ,Arizona,30917,372
Nicholasville,KY,Kentucky,30912,823
Goleta,CA,California,30911,1520
Opelika,AL,Alabama,30908,202
Algonquin,IL,Illinois,30897,969
Marrero,LA,Louisiana,30894,1656
Burlingame,CA,California,30889,2707
Aiken,SC,South Carolina,30869,565
Lawrenceville,GA,Georgia,30834,874
Winter Park,FL,Florida,30825,1361
Lake Magdalene,FL,Florida,30805,1164
Fitchburg,WI,Wisconsin,30792,340
Granger,IN,Indiana,30776,477
Wooster,OH,Ohio,30750,597
Fountain,CO,Colorado,30735,527
Brooklyn Center,MN,Minnesota,30690,1480
Kerrville,TX,Texas,30623,418
Barstow,CA,California,30605,223
Oceanside,NY,New York,30604,2397
Canton,GA,Georgia,30528,649
Auburn,NY,New York,30507,1212
Crown Point,IN,Indiana,30488,660
Windsor,CO,Colorado,30477,469
Lakeside,FL,Florida,30458,874
Gloucester,MA,Massachusetts,30430,448
Gurnee,IL,Illinois,30378,868
Orangeburg,SC,South Carolina,30365,542
Holladay,UT,Utah,30325,1379
Fuquay-Varina,NC,North Carolina,30324,770
Chamblee,GA,Georgia,30307,1518
Carney,MD,Maryland,30289,1677
Peru,IL,Illinois,30287,390
Sterling,VA,Virginia,30271,2143
Cornelius,NC,North Carolina,30257,907
North Tonawanda,NY,New York,30245,1156
Long Branch,NJ,New Jersey,30241,2278
Santa Paula,CA,California,30233,2534
Los Gatos,CA,California,30222,1024
South Lake Tahoe,CA,California,30188,844
San Carlos,CA,California,30185,2113
Clinton,IA,Iowa,30177,275
Saratoga,CA,California,30153,911
Los Altos,CA,California,30089,1792
Ballwin,MO,Missouri,30082,1293
Atascadero,CA,California,30075,445
North Royalton,OH,Ohio,30068,544
Somerset,KY,Kentucky,30053,381
Seguin,TX,Texas,29992,304
Fortuna Foothills,AZ,Arizona,29955,288
Milford Mill,MD,Maryland,29926,1663
Pasadena,MD,Maryland,29918,773
Stockbridge,GA,Georgia,29904,844
East Liverpool,OH,Ohio,29898,870
Rahway,NJ,New Jersey,29895,2962
Madison Heights,MI,Michigan,29886,1628
Williston,ND,North Dakota,29844,483
Bay Shore,NY,New York,29799,2130
Eagle,ID,Idaho,29796,376
Westchester,FL,Florida,29778,2901
Maryville,TN,Tennessee,29742,665
Walnut,CA,California,29685,1274
Suisun City,CA,California,29663,2820
Garden City,KS,Kansas,29659,945
Texarkana,AR,Arkansas,29657,273
Kent,OH,Ohio,29646,1247
West Falls Church,VA,Virginia,29623,2291
North Chicago,IL,Illinois,29615,1430
Greenville,MS,Mississippi,29613,417
Duluth,GA,Georgia,29609,1118
Aberdeen,WA,Washington,29609,595
Winona,MN,Minnesota,29601,539
O'Fallon,IL,Illinois,29583,743
Drexel Heights,AZ,Arizona,29568,586
Ukiah,CA,California,29561,1290
Atwater,CA,California,29559,1873
Golden Gate,FL,Florida,29552,2922
Sanford,ME,Maine,29535,171
Highland Park,IL,Illinois,29515,930
Westfield,NJ,New Jersey,29512,1694
Hermiston,OR,Oregon,29512,838
Oak Park,MI,Michigan,29431,2204
Central,LA,Louisiana,29357,182
East Lake-Orient Park,FL,Florida,29346,709
Chicago Heights,IL,Illinois,29322,1101
East Palo Alto,CA,California,29314,4489
Newberg,OR,Oregon,29225,1560
Lewes,DE,Delaware,29187,308
North Attleborough,MA,Massachusetts,29180,597
Washington,UT,Utah,29174,324
Port Chester,NY,New York,29163,4831
Oak Ridge,TN,Tennessee,29156,132
Crofton,MD,Maryland,29136,1701
Athens,OH,Ohio,29122,964
Laplace,LA,Louisiana,29108,537
SeaTac,WA,Washington,29044,1114
Raytown,MO,Missouri,28991,1127
Paragould,AR,Arkansas,28986,351
Graham,WA,Washington,28976,319
Southgate,MI,Michigan,28959,1626
Harrison,NY,New York,28943,666
Niles,IL,Illinois,28938,1911
Fernandina Beach,FL,Florida,28931,444
Big Spring,TX,Texas,28913,569
Bella Vista,AR,Arkansas,28872,246
Milton,PA,Pennsylvania,28851,749
Morrisville,NC,North Carolina,28846,1277
Greenville,TX,Texas,28827,344
Casselberry,FL,Florida,28757,1601
Plattsburgh,NY,New York,28740,1495
Wasco,CA,California,28710,1180
South Laurel,MD,Maryland,28683,1372
Fleming Island,FL,Florida,28676,699
Belle Glade,FL,Florida,28665,1094
Lake in the Hills,IL,Illinois,28634,1082
Agawam,MA,Massachusetts,28613,473
Shirley,NY,New York,28583,961
Burton,MI,Michigan,28574,472
Geneva,NY,New York,28563,1158
Schererville,IN,Indiana,28527,733
Independence,KY,Kentucky,28521,627
West Springfield,MA,Massachusetts,28517,658
Austintown,OH,Ohio,28488,946
Burlington,IA,Iowa,28474,662
Shamokin,PA,Pennsylvania,28457,3218
New Iberia,LA,Louisiana,28454,986
Northampton,MA,Massachusetts,28451,320
Englewood,NJ,New Jersey,28402,2226
Vineyard,CA,California,28386,637
Zionsville,IN,Indiana,28357,162
Short Pump,VA,Virginia,28328,1221
Burbank,IL,Illinois,28289,2619
Lumberton,NC,North Carolina,28279,446
Perry Hall,MD,Maryland,28266,1565
Aberdeen,SD,South Dakota,28257,680
Benicia,CA,California,28240,849
Oakleaf Plantation,FL,Florida,28237,663
Jacksonville,AR,Arkansas,28235,381
Winchester,NV,Nevada,28231,2475
Rockledge,FL,Florida,28227,898
Henderson,KY,Kentucky,28207,675
Monterey,CA,California,28178,1259
Converse,TX,Texas,28171,1286
Granite City,IL,Illinois,28158,564
Yukon,OK,Oklahoma,28084,408
Sonora,CA,California,28035,593
Melrose,MA,Massachusetts,28016,2309
Mehlville,MO,Missouri,27971,1445
Wisconsin Rapids,WI,Wisconsin,27966,490
Galt,CA,California,27954,1505
Hutto,TX,Texas,27947,1287
Bixby,OK,Oklahoma,27944,433
Hobart,IN,Indiana,27939,411
Drexel Hill,PA,Pennsylvania,27939,3373
Oakdale,MN,Minnesota,27933,983
Sunbury,PA,Pennsylvania,27921,1786
Summerlin South,NV,Nevada,27908,1112
New Smyrna Beach,FL,Florida,27843,285
Tualatin,OR,Oregon,27837,1314
Forest Hills,MI,Michigan,27830,218
Fridley,MN,Minnesota,27826,1056
East Chicago,IN,Indiana,27817,762
Kirkwood,MO,Missouri,27807,1170
Sanger,CA,California,27777,1697
Morgan City,LA,Louisiana,27728,693
Ramsey,MN,Minnesota,27721,370
Ruston,LA,Louisiana,27717,399
Jeffersontown,KY,Kentucky,27715,1034
Glen Ellyn,IL,Illinois,27714,1576
Isla Vista,CA,California,27707,5782
Cañon City,CO,Colorado,27676,521
Monticello,MN,Minnesota,27665,609
Ashtabula,OH,Ohio,27645,894
Temescal Valley,CA,California,27630,551
Bridgewater,MA,Massachusetts,27619,391
Mint Hill,NC,North Carolina,27617,441
Mililani Town,HI,Hawaii,27562,2653
Statesville,NC,North Carolina,27528,429
Gloversville,NY,New York,27512,1128
Gladstone,MO,Missouri,27489,1313
Deer Park,NY,New York,27479,1720
Fremont,NE,Nebraska,27456,977
Garfield Heights,OH,Ohio,27448,1465
Imperial Beach,CA,California,27440,2464
Seneca,SC,South Carolina,27439,418
Florence,AZ,Arizona,27422,169
Bayonet Point,FL,Florida,27418,1837
Lansing,IL,Illinois,27402,1417
Millville,NJ,New Jersey,27391,251
Monroeville,PA,Pennsylvania,27380,536
St. Helens,OR,Oregon,27353,1104
Bergenfield,NJ,New Jersey,27327,3633
Ladera Ranch,CA,California,27277,2143
Horn Lake,MS,Mississippi,27272,656
Prior Lake,MN,Minnesota,27241,661
Huntley,IL,Illinois,27228,735
Maple Valley,WA,Washington,27202,1749
Easton,PA,Pennsylvania,27189,2462
Oak Forest,IL,Illinois,27173,1746
Glen Cove,NY,New York,27166,1576
Indiana,PA,Pennsylvania,27142,2889
Shoreview,MN,Minnesota,27130,972
Windsor,CA,California,27128,1440
Sterling,IL,Illinois,27127,965
Dodge City,KS,Kansas,27104,717
Colleyville,TX,Texas,27091,797
Wilmette,IL,Illinois,27089,1936
Plum,PA,Pennsylvania,27087,365
Mt. Pleasant,WI,Wisconsin,27082,308
McHenry,IL,Illinois,27061,722
Waterville,ME,Maine,27054,472
Norfolk,NE,Nebraska,27032,832
Shaker Heights,OH,Ohio,27027,1654
Citrus Park,FL,Florida,27026,1026
Reisterstown,MD,Maryland,27007,2018
Erie,CO,Colorado,27003,529
Brownsburg,IN,Indiana,27001,660
Chaska,MN,Minnesota,26989,612
Ilchester,MD,Maryland,26974,970
Shelby,NC,North Carolina,26973,346
Maywood,CA,California,26973,8837
Maryland Heights,MO,Missouri,26956,475
Magna,UT,Utah,26949,688
Xenia,OH,Ohio,26947,799
Belmont,CA,California,26941,2244
Allen Park,MI,Michigan,26940,1487
Mason City,IA,Iowa,26931,374
New Lenox,IL,Illinois,26926,670
Hanahan,SC,South Carolina,26917,986
Kinston,NC,North Carolina,26889,420
Searcy,AR,Arkansas,26889,498
New London,CT,Connecticut,26858,1844
West Islip,NY,New York,26844,1644
West Chicago,IL,Illinois,26816,673
Kiryas Joel,NY,New York,26813,7593
Lemon Grove,CA,California,26811,2668
Lindenhurst,NY,New York,26801,2757
McDonough,GA,Georgia,26768,818
West Linn,OR,Oregon,26736,1393
Cortland,NY,New York,26729,1851
Lemoore,CA,California,26725,1170
Alvin,TX,Texas,26723,426
Waynesboro,PA,Pennsylvania,26694,1231
Marshalltown,IA,Iowa,26666,533
Lebanon,NH,New Hampshire,26666,130
West Whittier-Los Nietos,CA,California,26654,4085
Leisure City,FL,Florida,26652,3023
Thomasville,NC,North Carolina,26649,613
Temple Terrace,FL,Florida,26639,1410
Lafayette,CA,California,26638,683
University Park,FL,Florida,26620,2575
Norco,CA,California,26604,742
Immokalee,FL,Florida,26597,452
Vernon Hills,IL,Illinois,26521,1322
Pearl,MS,Mississippi,26510,401
Bethany,OR,Oregon,26501,1880
Marquette,MI,Michigan,26491,715
Sedalia,MO,Missouri,26473,619
Bessemer,AL,Alabama,26472,252
Plainview,NY,New York,26453,1784
Batavia,IL,Illinois,26420,968
Garden City,MI,Michigan,26408,1739
Chanhassen,MN,Minnesota,26389,499
Cabot,AR,Arkansas,26352,490
Vicksburg,MS,Mississippi,26340,253
Brawley,CA,California,26309,1247
Neenah,WI,Wisconsin,26300,1093
Snoqualmie,WA,Washington,26289,732
Troy,OH,Ohio,26281,840
Hercules,CA,California,26276,1582
Lake City,FL,Florida,26271,402
Paramus,NJ,New Jersey,26264,970
Okeechobee,FL,Florida,26256,553
Soledad,CA,California,26207,2240
Muscatine,IA,Iowa,26168,501
Boone,NC,North Carolina,26146,1203
Moscow,ID,Idaho,26145,1436
Cliffside Park,NJ,New Jersey,26133,10556
Sebastian,FL,Florida,26118,720
Northport,AL,Alabama,26115,596
Natchez,MS,Mississippi,26095,356
Winchester,KY,Kentucky,26083,783
Twentynine Palms,CA,California,26073,171
Holt,MI,Michigan,26065,642
East St. Louis,IL,Illinois,26047,722
Sachse,TX,Texas,26046,1029
Paris,TX,Texas,26010,272
Haines City,FL,Florida,26009,532
Cave Spring,VA,Virginia,26001,841
Superior,WI,Wisconsin,25977,273
West Odessa,TX,Texas,25962,159
Medina,OH,Ohio,25956,866
Conway,SC,South Carolina,25956,436
Barberton,OH,Ohio,25953,1111
Española,NM,New Mexico,25952,497
Dix Hills,NY,New York,25925,628
Rock Springs,WY,Wyoming,25913,451
Mercer Island,WA,Washington,25894,1566
Heber,UT,Utah,25877,743
White Bear Lake,MN,Minnesota,25875,1238
Laurel,MS,Mississippi,25844,436
Holbrook,NY,New York,25824,1389
Bay Point,CA,California,25808,1544
Woodstock,IL,Illinois,25786,745
Lochearn,MD,Maryland,25771,1779
Green,OH,Ohio,25752,310
Cloverleaf,TX,Texas,25718,3223
Owatonna,MN,Minnesota,25704,682
Decatur,GA,Georgia,25696,2236
Pooler,GA,Georgia,25694,358
Madison,MS,Mississippi,25661,392
Lancaster,SC,South Carolina,25649,546
Ewa Gentry,HI,Hawaii,25641,4646
Laurel,MD,Maryland,25631,2055
Austin,MN,Minnesota,25626,746
Lockport,IL,Illinois,25615,869
Franklin,IN,Indiana,25608,735
South Salt Lake,UT,Utah,25582,1422
Tarpon Springs,FL,Florida,25577,1082
Edgewood,MD,Maryland,25574,555
San Lorenzo,CA,California,25569,3557
Bluffton,SC,South Carolina,25557,189
Sevierville,TN,Tennessee,25557,275
Forest Grove,OR,Oregon,25553,1685
Sun City West,AZ,Arizona,25544,908
South Portland,ME,Maine,25532,816
Ruskin,FL,Florida,25530,546
Denison,TX,Texas,25529,344
El Cerrito,CA,California,25508,2693
Keystone,FL,Florida,25493,280
Coral Terrace,FL,Florida,25387,2916
Claremore,OK,Oklahoma,25384,489
Homewood,AL,Alabama,25377,1174
Farmington,UT,Utah,25339,983
Columbine,CO,Colorado,25332,1475
South Pasadena,CA,California,25329,2870
Canyon Lake,TX,Texas,25325,68
Kingsville,TX,Texas,25315,704
Forest City,NC,North Carolina,25311,322
Salem,VA,Virginia,25301,672
Bainbridge Island,WA,Washington,25298,353
Caledonia,WI,Wisconsin,25277,215
Champlin,MN,Minnesota,25268,1196
Edwardsville,IL,Illinois,25233,488
South Bradenton,FL,Florida,25227,2169
Fairland,MD,Maryland,25220,1965
Palm Springs,FL,Florida,25216,2315
Elk River,MN,Minnesota,25213,229
Rosemount,MN,Minnesota,25207,292
Fountain Hills,AZ,Arizona,25200,479
Belvidere,IL,Illinois,25143,804
Riverside,OH,Ohio,25133,997
Middle River,MD,Maryland,25129,1247
Muskego,WI,Wisconsin,25127,306
Levittown,PR,Puerto Rico,25121,4226
Hazelwood,MO,Missouri,25117,604
Scottsbluff,NE,Nebraska,25114,847
Fresno,TX,Texas,25072,1134
Ridgewood,NJ,New Jersey,25056,1684
Yucca Valley,CA,California,25042,211
Branson,MO,Missouri,25033,212
Balch Springs,TX,Texas,25007,1069
University Park,TX,Texas,24985,2617
Timberwood Park,TX,Texas,24978,472
De Pere,WI,Wisconsin,24970,806
Socastee,SC,South Carolina,24964,722
Terrytown,LA,Louisiana,24953,2628
Fajardo,PR,Puerto Rico,24950,1183
Marysville,OH,Ohio,24949,582
Derby,KS,Kansas,24943,938
Wilsonville,OR,Oregon,24918,1322
Clayton,NC,North Carolina,24887,634
Brookings,SD,South Dakota,24887,700
Riverbank,CA,California,24881,2372
North Laurel,MD,Maryland,24873,1481
Walker,MI,Michigan,24869,390
Wyandotte,MI,Michigan,24859,1813
Grandview,MO,Missouri,24856,651
Forest Lake,MN,Minnesota,24853,264
Chesapeake Beach,MD,Maryland,24845,864
Palm City,FL,Florida,24840,691
Hudson,WI,Wisconsin,24832,813
Clarksburg,MD,Maryland,24767,1164
South Elgin,IL,Illinois,24755,1352
Auburn Hills,MI,Michigan,24748,574
Baldwin,NY,New York,24727,3230
North Tustin,CA,California,24705,1442
Ontario,OR,Oregon,24704,821
Melrose Park,IL,Illinois,24703,2250
Ardmore,OK,Oklahoma,24698,190
Hastings,NE,Nebraska,24692,653
Burlington,WI,Wisconsin,24691,547
Norton Shores,MI,Michigan,24664,409
Kernersville,NC,North Carolina,24660,535
Sugar Hill,GA,Georgia,24617,857
Herndon,VA,Virginia,24601,2215
Emporia,KS,Kansas,24598,792
Prosper,TX,Texas,24579,376
Rockville Centre,NY,New York,24550,2915
Palmetto Bay,FL,Florida,24523,1142
Suitland,MD,Maryland,24522,2229
Somerset,NJ,New Jersey,24509,1495
Avon Lake,OH,Ohio,24504,850
Lathrop,CA,California,24483,476
Loma Linda,CA,California,24482,1234
Watauga,TX,Texas,24481,2271
Homer Glen,IL,Illinois,24472,427
Tifton,GA,Georgia,24466,515
Dinuba,CA,California,24461,1450
Bloomingdale,FL,Florida,24446,1160
Westmont,IL,Illinois,24443,1887
Clinton,MS,Mississippi,24440,225
Ashland,CA,California,24430,5132
Opelousas,LA,Louisiana,24423,775
Camas,WA,Washington,24418,669
Harvey,IL,Illinois,24408,1518
Medford,NY,New York,24406,872
Trotwood,OH,Ohio,24403,309
West Memphis,AR,Arkansas,24402,326
Collinsville,IL,Illinois,24395,638
Mequon,WI,Wisconsin,24382,203
Ellensburg,WA,Washington,24377,1074
Ottumwa,IA,Iowa,24368,593
Chantilly,VA,Virginia,24368,783
Shelbyville,KY,Kentucky,24351,731
Woodlawn,VA,Virginia,24351,4106
Lodi,NJ,New Jersey,24347,4137
Orchards,WA,Washington,24335,1755
Newport,RI,Rhode Island,24334,1226
San Fernando,CA,California,24322,3955
Saginaw,TX,Texas,24310,1226
Peekskill,NY,New York,24295,2147
Port Angeles,WA,Washington,24293,729
Mill Creek East,WA,Washington,24291,2107
Brandon,MS,Mississippi,24289,365
Sun City Center,FL,Florida,24286,595
Inkster,MI,Michigan,24284,1499
Thomasville,GA,Georgia,24275,476
Ponca City,OK,Oklahoma,24274,496
Cataño,PR,Puerto Rico,24271,1921
Tysons,VA,Virginia,24261,2196
West Melbourne,FL,Florida,24259,883
Faribault,MN,Minnesota,24250,608
San Benito,TX,Texas,24243,592
Fort Washington,MD,Maryland,24237,678
Lincolnton,NC,North Carolina,24229,499
West Springfield,VA,Virginia,24223,1943
Simpsonville,SC,South Carolina,24221,1013
Waverly,MI,Michigan,24201,1030
Bailey's Crossroads,VA,Virginia,24180,4551
Okemos,MI,Michigan,24141,552
Ridgeland,MS,Mississippi,24104,435
Elmwood Park,IL,Illinois,24098,4875
North Platte,NE,Nebraska,24098,689
Charles Town,WV,West Virginia,24094,398
Freeport,IL,Illinois,24092,787
Waukee,IA,Iowa,24089,448
South Plainfield,NJ,New Jersey,24052,1119
Wadsworth,OH,Ohio,24046,822
Tumwater,WA,Washington,24024,532
Fairfax,VA,Virginia,24019,1486
Candler-McAfee,GA,Georgia,24011,1331
Oak Ridge,FL,Florida,24004,2611
Venice,FL,Florida,23985,614
Wright,FL,Florida,23965,1684
Lincolnia,VA,Virginia,23933,1949
Westchase,FL,Florida,23923,929
Edgewater,FL,Florida,23918,375
North Potomac,MD,Maryland,23914,1415
Pelham,AL,Alabama,23911,237
Corsicana,TX,Texas,23906,401
Seal Beach,CA,California,23896,818
Fort Dodge,IA,Iowa,23888,574
Dunkirk,NY,New York,23874,1007
Calabasas,CA,California,23853,673
Chalmette,LA,Louisiana,23851,1283
North Augusta,SC,South Carolina,23845,448
Palm River-Clair Mel,FL,Florida,23844,805
Mount Pocono,PA,Pennsylvania,23820,348
Farragut,TN,Tennessee,23778,574
Jenks,OK,Oklahoma,23767,535
Palatka,FL,Florida,23738,413
Coronado,CA,California,23731,1149
Valinda,CA,California,23705,4544
Centerville,OH,Ohio,23703,834
Van Buren,AR,Arkansas,23683,593
Greeneville,TN,Tennessee,23683,338
Waycross,GA,Georgia,23671,438
Half Moon Bay,CA,California,23653,776
Belton,MO,Missouri,23642,645
Jacksonville Beach,FL,Florida,23628,1246
North Lynnwood,WA,Washington,23620,2916
Ilion,NY,New York,23608,1187
Rosemont,CA,California,23602,2084
Seymour,IN,Indiana,23598,634
Oakdale,CA,California,23596,1473
Madisonville,KY,Kentucky,23580,404
Romulus,MI,Michigan,23573,255
Cudahy,CA,California,23569,7739
Copiague,NY,New York,23561,2941
Winter Gardens,CA,California,23545,2056
Leland,NC,North Carolina,23544,459
Rolling Meadows,IL,Illinois,23532,1617
Wekiwa Springs,FL,Florida,23512,1051
Northdale,FL,Florida,23510,1122
Fort Hood,TX,Texas,23508,579
Benbrook,TX,Texas,23502,843
Zion,IL,Illinois,23487,926
Watertown,WI,Wisconsin,23479,750
Montrose,CO,Colorado,23478,413
Hialeah Gardens,FL,Florida,23474,2813
Columbus,NE,Nebraska,23468,859
Plainview,TX,Texas,23424,560
Auburn,ME,Maine,23414,152
Carteret,NJ,New Jersey,23408,2058
Arnold,MD,Maryland,23406,835
Avon,OH,Ohio,23399,434
West Puente Valley,CA,California,23382,4829
Loves Park,IL,Illinois,23371,549
Vero Beach South,FL,Florida,23333,879
Lisle,IL,Illinois,23270,1302
Greenbelt,MD,Maryland,23224,1438
Granite Bay,CA,California,23183,416
Maywood,IL,Illinois,23158,3291
Dickinson,ND,North Dakota,23133,631
Oxford,OH,Ohio,23113,1188
Kenmore,WA,Washington,23097,1450
Allison Park,PA,Pennsylvania,23092,644
Farmington,MN,Minnesota,23091,609
Monsey,NY,New York,23055,3923
Hastings,MN,Minnesota,23047,858
Rockingham,NC,North Carolina,23016,437
Greenfield,IN,Indiana,23006,655
Auburn,IN,Indiana,22994,679
Frederickson,WA,Washington,22994,767
Willoughby,OH,Ohio,22977,865
Mustang,OK,Oklahoma,22959,739
Patterson,CA,California,22930,1115
Gallup,NM,New Mexico,22917,415
Radcliff,KY,Kentucky,22914,665
West Rancho Dominguez,CA,California,22901,2225
Blue Island,IL,Illinois,22899,2171
Crystal,MN,Minnesota,22899,1527
Belton,TX,Texas,22885,437
Pace,FL,Florida,22860,364
Marshall,TX,Texas,22831,297
Laguna Beach,CA,California,22827,991
Webster Groves,MO,Missouri,22819,1486
Acworth,GA,Georgia,22818,980
Griffin,GA,Georgia,22813,632
