State_Name,State_ab,City,ALand,AWater,Median,Stdev
Alabama,AL,Chickasaw,10894952,909156,30506,33101
Alabama,AL,Louisville,26070325,23254,19528,43789
Alabama,AL,Columbiana,44835274,261034,31930,57348
Alabama,AL,Satsuma,36878729,2374530,52814,47707
Alabama,AL,Dauphin Island,16204185,413605152,67225,54270
Alabama,AL,Cullman,8913021,26837,42643,35886
Alabama,AL,East Brewton,8826252,91015,23610,28256
Alabama,AL,Coosada,10222339,176500,40242,38941
Alabama,AL,Eva,10544874,78981,39591,47235
Alabama,AL,Sylacauga,45178321,6034534,41712,51359
Alabama,AL,Rainsville,145527967,924063,38947,44430
Alabama,AL,Gadsden,96637272,3060329,28811,41397
Alabama,AL,Georgiana,16154540,0,19757,27656
Alabama,AL,Rockford,16819854,75870,22745,27452
Alabama,AL,Greensboro,6156793,24951,21136,45043
Alabama,AL,Guin,5028328,0,39047,53934
Alabama,AL,Hartford,16152099,37439,21608,45280
Alabama,AL,Helena,53950336,833954,300000,55763
Alabama,AL,Hokes Bluff,30893300,423908,46738,44401
Alabama,AL,Opp,6618368,135412,34049,48287
Alabama,AL,Attalla,19297932,0,300000,28590
Alabama,AL,Millport,7948840,0,34725,36562
Alabama,AL,Section,12755795,8595968,31635,62581
Alabama,AL,Andalusia,1347464,7932,43794,32431
Alabama,AL,Lockhart,2818242,103127,36849,45634
Alabama,AL,Mcintosh,2579767,0,48713,54529
Alabama,AL,Maplesville,8463711,104846,30427,38304
Alabama,AL,Fairfield,6869817,0,39817,37964
Alabama,AL,Mobile,361044263,105325210,38231,50855
Alabama,AL,Moulton,15525177,37270,28180,39942
Alabama,AL,Muscle Shoals,42811752,53102,49109,48170
Alabama,AL,Newbern,3010370,6872,17389,31851
Alabama,AL,Northport,43353277,1016012,54115,47114
Alabama,AL,Opelika,154497144,2388300,40430,48856
Alabama,AL,Panola,1858530,3231,6190,29054
Alabama,AL,Ozark,72497364,325619,79218,52491
Alabama,AL,Deatsville,64250372,132799,57698,41175
Alabama,AL,Prattville,86435482,2322045,39054,39602
Alabama,AL,Red Bay,25224456,268155,29055,33077
Alabama,AL,Andalusia,17703764,675339,25895,48015
Alabama,AL,Cleveland,9758714,14775,44609,39231
Alabama,AL,Satsuma,73566058,497598,52275,43545
Alabama,AL,Shelby,48586750,657199,45844,53244
Alabama,AL,Smiths Station,17386667,69041,45637,48651
Alabama,AL,Phil Campbell,2403095,2825,300000,21067
Alabama,AL,Sumiton,13529257,19710,39657,46146
Alabama,AL,Tallassee,27817447,1526561,50493,42845
Alabama,AL,Mobile,33596548,99955,47636,45298
Alabama,AL,Tuscaloosa,159585773,26058465,38843,54867
Alabama,AL,Valley,28436022,0,39263,40901
Alabama,AL,Vincent,53311740,978770,0,0
Alabama,AL,Camp Hill,7054656,48649,60438,56646
Alabama,AL,Cullman,8833073,70375,49030,50015
Alabama,AL,Woodland,4036422,0,33446,42907
Alabama,AL,Wadley,7764034,34284,11398,10903
Alabama,AL,Aliceville,11819855,0,20997,28311
Alabama,AL,Odenville,27893577,150331,300000,25317
Alabama,AL,Auburn,152375113,2646161,38029,60946
Alabama,AL,Bayou La Batre,19400655,368667,35147,43788
Alabama,AL,Bessemer,104798633,439841,29150,38565
Alabama,AL,Boligee,10231296,36323,12379,58584
Alabama,AL,Brilliant,27687370,0,25776,27149
Alabama,AL,Calera,62376107,685210,64695,38729
Alabama,AL,Carrollton,5331435,59271,27321,44007
Alabama,AL,Moody,110354665,589709,32942,40674
Alabama,AL,Odenville,145753222,539155,56867,43036
Alabama,AL,Hoover,10526469,723081,71401,66042
Alabama,AL,Birmingham,7151912,58061,74570,65160
Alabama,AL,Chelsea,16899453,292332,71839,54844
Alabama,AL,Maylene,8011090,34567,75896,58979
Alabama,AL,Ohatchee,177682000,7624905,54091,47663
Alabama,AL,Panola,536090556,10788078,28981,28466
Alabama,AL,Talladega,10137995,8419,27264,45128
Alabama,AL,Sylacauga,83495162,1251432,31044,36118
Alabama,AL,Dadeville,311017327,1997552,35722,44616
Alabama,AL,Northport,32625607,5489082,74807,59517
Alabama,AL,Holt,9071936,478045,29413,34880
Alabama,AL,Tuscaloosa,1160279,0,12361,34393
Alabama,AL,Tuscaloosa,12325885,108719,45803,55310
Alabama,AL,Holt,6641779,189874,40174,43882
Alabama,AL,Nauvoo,153528165,704066,29226,37412
Alabama,AL,Lanett,6948352,0,23009,38779
Alabama,AL,Millry,398488735,659562,40342,41443
Alabama,AL,Arley,145680961,17493922,36818,42393
Alabama,AL,Prattville,5349273,9054,51927,40722
Alabama,AL,Elmore,8020338,60048,35150,30951
Alabama,AL,Marbury,292756927,516153,300000,36002
Alabama,AL,Perdido,971507312,37571032,43407,52450
Alabama,AL,Bay Minette,17478851,155316,24377,31702
Alabama,AL,Daphne,144260774,676568,97539,63498
Alabama,AL,Loxley,55584945,274609,41882,37860
Alabama,AL,Robertsdale,39371387,185367,300000,37937
Alabama,AL,Clanton,64410623,251385,41768,48428
Alabama,AL,Fairhope,12365598,1268983,52050,64026
Alabama,AL,Foley,164751029,12027152,58784,51329
Alabama,AL,Gulf Shores,34146324,8917573,300000,59906
Alabama,AL,Foley,51913165,450591,300000,21308
Alabama,AL,Pensacola,81473914,35304223,46769,46123
Alabama,AL,Clayton,343304919,397957,45615,47083
Alabama,AL,Eufaula,14630161,380622,26304,47072
Alabama,AL,Brent,691793540,3983687,54574,61374
Alabama,AL,Oneonta,215168178,7529147,32407,21562
Alabama,AL,Cleveland,117119604,607001,49459,39388
Alabama,AL,Gilbertown,578537985,1836706,39956,48887
Alabama,AL,Blountsville,248719996,1503784,30660,46395
Alabama,AL,Hayden,181928636,1231658,47284,39926
Alabama,AL,Union Springs,786335890,3475241,25206,26768
Alabama,AL,Greenville,32192358,313969,21911,23037
Alabama,AL,Mckenzie,264349344,236297,27877,29844
Alabama,AL,Anniston,6794602,649,15743,28241
Alabama,AL,Anniston,16676645,14186,41259,45442
Alabama,AL,Oxford,23519631,55597,46871,46868
Alabama,AL,Anniston,54153086,275439,48881,28239
Alabama,AL,Jacksonville,41129558,487657,41809,29011
Alabama,AL,Jackson,447191122,17991801,30601,39286
Alabama,AL,Jacksonville,13690915,23910,13029,35858
Alabama,AL,Piedmont,87901995,514251,27332,29556
Alabama,AL,Alexandria,97226556,796761,64034,45909
Alabama,AL,Alexandria,89660986,294151,0,0
Alabama,AL,Lafayette,675980103,2617356,300000,34017
Alabama,AL,Lanett,132910142,178276,30130,30948
Alabama,AL,Valley,9688028,0,27057,50751
Alabama,AL,Sand Rock,233670765,33296082,43170,47243
Alabama,AL,Spring Garden,373046666,29730687,300000,60348
Alabama,AL,Clanton,64410623,251385,37212,48573
Alabama,AL,Jack,208213147,177901,35327,39518
Alabama,AL,Jemison,244387804,1211895,33316,32761
Alabama,AL,Verbena,256404827,4346403,46110,59481
Alabama,AL,Butler,752526706,7297622,40705,54619
Alabama,AL,Thomasville,249006278,71854,36477,28494
Alabama,AL,Robertsdale,737211648,3860933,45281,57389
Alabama,AL,Grove Hill,832734330,4857552,38228,55570
Alabama,AL,Jackson,107872399,2504038,23781,37971
Alabama,AL,Ashland,383065566,777286,35064,33198
Alabama,AL,Heflin,243823026,915596,25199,32837
Alabama,AL,Jack,208213147,177901,34974,43086
Alabama,AL,Kinston,128071075,606802,30746,46019
Alabama,AL,Enterprise,40693675,151495,84211,56279
Alabama,AL,Enterprise,40693675,151495,49254,51536
Alabama,AL,Sheffield,4408833,784132,42586,39138
Alabama,AL,Tuscumbia,5259140,1044191,300000,26728
Alabama,AL,Muscle Shoals,112842678,7290274,65185,55384
Alabama,AL,Leighton,118959123,20802427,38525,36757
Alabama,AL,Tuscumbia,259170483,7552968,38139,36681
Alabama,AL,Castleberry,480256655,3016837,28982,24289
Alabama,AL,Rockford,251376931,1562316,23325,31099
Alabama,AL,Andalusia,359424460,10780680,300000,24136
Alabama,AL,Andalusia,49938350,583714,41801,49863
Alabama,AL,Muscle Shoals,8140717,0,56246,44831
Alabama,AL,Opp,154675236,2461722,31463,35525
Alabama,AL,Opp,249816869,1830023,43585,50751
Alabama,AL,Luverne,374196528,755161,28886,35812
